temp_k_4,temp_k_3,temp_k_2,temp_k_1,temp_k,cons_k_5,cons_k_4,cons_k_3,cons_k_2,cons_k_1,holiday,cons_k
21.67352148,21.03285385,21.65827531,23.64740798,23.53887552,140.91,152.8,135.3,139.3,143.7,0,143
22.00871183,21.67352148,21.03285385,21.65827531,23.64740798,152.8,140.91,152.8,135.3,139.3,0,143.7
20.47432471,22.00871183,21.67352148,21.03285385,21.65827531,154.6,152.8,140.91,152.8,135.3,0,139.3
17.12523299,20.47432471,22.00871183,21.67352148,21.03285385,151.2,154.6,152.8,140.91,152.8,0,135.3
17.55413715,17.12523299,20.47432471,22.00871183,21.67352148,176.4,151.2,154.6,152.8,140.91,1,152.8
18.20268082,17.55413715,17.12523299,20.47432471,22.00871183,164.3,176.4,151.2,154.6,152.8,1,140.91
18.04049129,18.20268082,17.55413715,17.12523299,20.47432471,186.3,164.3,176.4,151.2,154.6,0,152.8
17.8464891,18.04049129,18.20268082,17.55413715,17.12523299,186,186.3,164.3,176.4,151.2,1,154.6
16.7244949,17.8464891,18.04049129,18.20268082,17.55413715,196.4,186,186.3,164.3,176.4,0,151.2
18.44190621,16.7244949,17.8464891,18.04049129,18.20268082,183.3,196.4,186,186.3,164.3,0,176.4
19.2075145,18.44190621,16.7244949,17.8464891,18.04049129,180.3064867,183.3,196.4,186,186.3,0,164.3
20.180778,19.2075145,18.44190621,16.7244949,17.8464891,172.2396524,180.3064867,183.3,196.4,186,1,186.3
18.52385724,20.180778,19.2075145,18.44190621,16.7244949,169.5371818,172.2396524,180.3064867,183.3,196.4,1,186
18.21976571,18.52385724,20.180778,19.2075145,18.44190621,198,169.5371818,172.2396524,180.3064867,183.3,0,196.4
18.59059267,18.21976571,18.52385724,20.180778,19.2075145,198.4,198,169.5371818,172.2396524,180.3064867,0,183.3
16.50772331,18.59059267,18.21976571,18.52385724,20.180778,233.5,198.4,198,169.5371818,172.2396524,0,180.3064867
14.86807301,16.50772331,18.59059267,18.21976571,18.52385724,248.5,233.5,198.4,198,169.5371818,0,172.2396524
15.70345199,14.86807301,16.50772331,18.59059267,18.21976571,251.2,248.5,233.5,198.4,198,0,169.5371818
16.60552742,15.70345199,14.86807301,16.50772331,18.59059267,241,251.2,248.5,233.5,198.4,1,198
17.81715122,16.60552742,15.70345199,14.86807301,16.50772331,231,241,251.2,248.5,233.5,1,198.4
17.70237608,17.81715122,16.60552742,15.70345199,14.86807301,230.3,231,241,251.2,248.5,0,233.5
15.42109637,17.70237608,17.81715122,16.60552742,15.70345199,229.4,230.3,231,241,251.2,0,248.5
13.34540044,15.42109637,17.70237608,17.81715122,16.60552742,261.7,229.4,230.3,231,241,0,251.2
13.47479145,13.34540044,15.42109637,17.70237608,17.81715122,266.3,261.7,229.4,230.3,231,0,241
13.20637372,13.47479145,13.34540044,15.42109637,17.70237608,280.6,266.3,261.7,229.4,230.3,0,231
12.90437521,13.20637372,13.47479145,13.34540044,15.42109637,286.1,280.6,266.3,261.7,229.4,1,230.3
12.86533224,12.90437521,13.20637372,13.47479145,13.34540044,296.3,286.1,280.6,266.3,261.7,1,229.4
13.66109687,12.86533224,12.90437521,13.20637372,13.47479145,297,296.3,286.1,280.6,266.3,1,261.7
13.840833,13.66109687,12.86533224,12.90437521,13.20637372,317.6,297,296.3,286.1,280.6,1,266.3
11.69691088,13.840833,13.66109687,12.86533224,12.90437521,296.2,317.6,297,296.3,286.1,0,280.6
